fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"265",IMP,"5",,JEAN WIENER,IMP JEAN WIENER,,,,,,,,,,,,,,
"266",PL,"5",,GEORGES LYSSANDRE,PL GEORGES LYSSANDRE,privé,,,,,,,,,,,,,
"267",PL,"5",,ALBERT THOMAS,PL ALBERT THOMAS,,,,,,,,,,,,,,
"269",AV,"4",,LEON BLUM,AV LEON BLUM,,,,,,,,,,,,,,
"270",R,"5",,DE PLAISANCE,R DE PLAISANCE,,,,,,,,,,,,,,
"271",R,"5",,DU PROGRES,R DU PROGRES,,,,,,,,,,,,,,
"272",ALL,"6",,JOACHIM DU BELLAY,ALL JOACHIM DU BELLAY,privé,,,,,,,,,,,,,
"273",R,"5",,GUILLAUME APOLLINAIRE,R GUILLAUME APOLLINAIRE,privé,,,,,,,,,,,,,
"277",AV,"5",,JEAN LEBAS,AV JEAN LEBAS,,,,,,,,,,,,,,
"279",ALL,"5",,DES SORBIERS,ALL DES SORBIERS,privé,,,,,,,,,,,,,
"280","9","6",IMP HAYDN,"9","9",privé,,,,,,,,,,,,,
"282",R,"5",,JULES AUFFRET,R JULES AUFFRET,,,,,,,,,,,,,,
"283",R,"5",,CESADELAINE,R CESAR DELAINE,,,,,,,,,,,,,,
"284",ALL,"5",,DU GROS BUISSON,ALL DU GROS BUISSON,,,,,,,,,,,,,,
"285",SQ,"6",,DU 8 MAI 1945,SQ DU 8 MAI 1945,,,,,,,,,,,,,,
"287",IMP,"5",,DE LA SOLIDARITE,IMP DE LA SOLIDARITE,privé,,,,,,,,,,,,,
"288",ALL,"5",,DES SYLPHES,ALL DES SYLPHES,,,,,,,,,,,,,,
"289",ALL,"5",,DES FOUGERES,ALL DES FOUGERES,privé,,,,,,,,,,,,,
"290",VLA,"5",,GABRIEL SEAILLES,VLA GABRIEL SEAILLES,privé,,,,,,,,,,,,,
"291",R,"5",,PAUL ELUARD,R PAUL ELUARD,privé,,,,,,,,,,,,,
"292",ALL,"5",,BECQUEREL,ALL BECQUEREL,,,,,,,,,,,,,,
